"ID_edificio";"Descrizione_edificio";"ID_sensore";"Tipo_misura";"Nome_sito";"Data_rilevazione";"Valore_misura";"Unita_misurazione"
"2016-22-007488-A/1262";"L1-007-101 ITC VITTONE_LS Linguistico MONTI";"2016-22-007488-A/4938";"Sensor1";"PLESSO MONTI-VITTONE";"17/11/2021 03:00";"20,23";"°C"
"2016-22-007488-A/1375";"L1-007-190 ITCG RUSSEL_MORO Succursal";"2016-22-007488-A/5472";"Sensor1";"PLESSO RUSSELL MORO EINSTEIN";"17/11/2021 04:00";"17,37";"°C"
"2016-22-007488-A/1564";"L1-007-998 Circondario di Lanzo";"2016-22-007488-A/6262";"Sensor1";"Circondario - Lanzo Torinese";"17/11/2021 20:00";"22,63";"°C"
"2016-22-007488-A/1572";"L1-007-118 LS Gramsci";"2016-22-007488-A/6385";"Sensor1";"GRAMSCI";"17/11/2021 09:00";"18,53";"°C"
"2016-22-007488-A/1274";"L1-007-155 ITIS PEANO IPIA ZERBONI";"2016-22-007488-A/5015";"Sensor1";"PEANO";"17/11/2021 01:00";"22,30";"°C"
"2016-22-007488-A/1355";"L1-007-191 GIOBERTI Succ";"2016-22-007488-A/5377";"Sensor1";"PLESSO GIOBERTI-GOBETTI SUCC";"17/11/2021 04:00";"17,00";"°C"
"2016-22-007488-A/1550";"L1-007-125 IM ALBERT";"2016-22-007488-A/6165";"Sensor1";"ALBERT";"17/11/2021 03:00";"19,29";"°C"
"2016-22-007488-A/1903";"L1-007-113 ITCG FERMI_LS GALILEI Palestra";"2016-22-007488-A/8126";"Sensor1";"FERMI-GALILEI";"17/11/2021 17:00";"20,19";"°C"
"2016-22-007488-A/1916";"L1-007-108 Palestra Newton";"2016-22-007488-A/10581";"Sensor1";"";"17/11/2021 15:00";"20,95";"°C"
"2016-22-007488-A/1004";"L1-007-009 I.P. Agrario Ubertini Sede Coordinata";"2016-22-007488-A/3797";"Sensor1";"BALDESSANO-ROCCATI 2 Sales";"10/10/2021 22:00";"20,26";"°C"
"2016-22-007488-A/1074";"L1-007-162 IPC_Giolitti";"2016-22-007488-A/4063";"Sensor1";"GIOLITTI";"11/10/2021 14:00";"19,96";"°C"
